realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2017-08-30,415.9985
2019-12-23,2019-12-23,2017-09-06,416.3384
2019-12-23,2019-12-23,2017-09-13,416.4594
2019-12-23,2019-12-23,2017-09-20,416.694
2019-12-23,2019-12-23,2017-09-27,417.6609
2019-12-23,2019-12-23,2017-10-04,417.7514
2019-12-23,2019-12-23,2017-10-11,418.3354
2019-12-23,2019-12-23,2017-10-18,418.7001
2019-12-23,2019-12-23,2017-10-25,418.7236
2019-12-23,2019-12-23,2017-11-01,418.3063
2019-12-23,2019-12-23,2017-11-08,418.6821
2019-12-23,2019-12-23,2017-11-15,419.0028
2019-12-23,2019-12-23,2017-11-22,418.9668
2019-12-23,2019-12-23,2017-11-29,419.5378
2019-12-23,2019-12-23,2017-12-06,419.917
2019-12-23,2019-12-23,2017-12-13,420.0273
2019-12-23,2019-12-23,2017-12-20,420.0341
2019-12-23,2019-12-23,2017-12-27,420.3765
2019-12-23,2019-12-23,2018-01-03,420.4376
2019-12-23,2019-12-23,2018-01-10,420.6589
2019-12-23,2019-12-23,2018-01-17,420.787
2019-12-23,2019-12-23,2018-01-24,420.9894
2019-12-23,2019-12-23,2018-01-31,421.3186
2019-12-23,2019-12-23,2018-02-07,421.4877
2019-12-23,2019-12-23,2018-02-14,421.4559
2019-12-23,2019-12-23,2018-02-21,421.4642
2019-12-23,2019-12-23,2018-02-28,421.719
2019-12-23,2019-12-23,2018-03-07,421.6571
2019-12-23,2019-12-23,2018-03-14,421.5286
2019-12-23,2019-12-23,2018-03-21,422.0984
2019-12-23,2019-12-23,2018-03-28,421.9876
2019-12-23,2019-12-23,2018-04-04,422.5737
2019-12-23,2019-12-23,2018-04-11,422.566
2019-12-23,2019-12-23,2018-04-18,422.3493
2019-12-23,2019-12-23,2018-04-25,422.0217
2019-12-23,2019-12-23,2018-05-02,422.0546
2019-12-23,2019-12-23,2018-05-09,421.7975
2019-12-23,2019-12-23,2018-05-16,421.746
2019-12-23,2019-12-23,2018-05-23,421.556
2019-12-23,2019-12-23,2018-05-30,421.9246
2019-12-23,2019-12-23,2018-06-06,421.8617
2019-12-23,2019-12-23,2018-06-13,421.8817
2019-12-23,2019-12-23,2018-06-20,421.8603
2019-12-23,2019-12-23,2018-06-27,421.5213
2019-12-23,2019-12-23,2018-07-04,421.1045
2019-12-23,2019-12-23,2018-07-11,421.1399
2019-12-23,2019-12-23,2018-07-18,421.0394
2019-12-23,2019-12-23,2018-07-25,421.2144
2019-12-23,2019-12-23,2018-08-01,421.1659
2019-12-23,2019-12-23,2018-08-08,421.2344
2019-12-23,2019-12-23,2018-08-15,420.957
2019-12-23,2019-12-23,2018-08-22,421.0746
2019-12-23,2019-12-23,2018-08-29,420.8409
2019-12-23,2019-12-23,2018-09-05,421.1267
2019-12-23,2019-12-23,2018-09-12,421.1547
2019-12-23,2019-12-23,2018-09-19,421.1319
2019-12-23,2019-12-23,2018-09-26,421.3073
2019-12-23,2019-12-23,2018-10-03,421.6479
2019-12-23,2019-12-23,2018-10-10,421.6907
2019-12-23,2019-12-23,2018-10-17,421.8488
2019-12-23,2019-12-23,2018-10-24,421.9162
2019-12-23,2019-12-23,2018-10-31,422.1358
2019-12-23,2019-12-23,2018-11-07,422.4433
2019-12-23,2019-12-23,2018-11-14,422.6156
2019-12-23,2019-12-23,2018-11-21,422.7986
2019-12-23,2019-12-23,2018-11-28,422.7266
2019-12-23,2019-12-23,2018-12-05,422.9309
2019-12-23,2019-12-23,2018-12-12,422.9569
2019-12-23,2019-12-23,2018-12-19,423.6944
2019-12-23,2019-12-23,2018-12-26,423.7714
2019-12-23,2019-12-23,2019-01-02,424.4602
2019-12-23,2019-12-23,2019-01-09,424.7047
2019-12-23,2019-12-23,2019-01-16,425.0216
2019-12-23,2019-12-23,2019-01-23,425.2428
2019-12-23,2019-12-23,2019-01-30,425.9657
2019-12-23,2019-12-23,2019-02-06,426.1622
2019-12-23,2019-12-23,2019-02-13,426.5642
2019-12-23,2019-12-23,2019-02-20,427.2021
2019-12-23,2019-12-23,2019-02-27,427.6295
2019-12-23,2019-12-23,2019-03-06,427.8358
2019-12-23,2019-12-23,2019-03-13,428.4127
2019-12-23,2019-12-23,2019-03-20,429.1146
2019-12-23,2019-12-23,2019-03-27,429.6081
2019-12-23,2019-12-23,2019-04-03,430.5766
2019-12-23,2019-12-23,2019-04-10,431.1062
2019-12-23,2019-12-23,2019-04-17,431.6311
2019-12-23,2019-12-23,2019-04-24,432.3252
2019-12-23,2019-12-23,2019-05-01,432.902
2019-12-23,2019-12-23,2019-05-08,434.0037
2019-12-23,2019-12-23,2019-05-15,434.3562
2019-12-23,2019-12-23,2019-05-22,434.775
2019-12-23,2019-12-23,2019-05-29,435.4308
2019-12-23,2019-12-23,2019-06-05,435.5717
2019-12-23,2019-12-23,2019-06-12,435.9667
2019-12-23,2019-12-23,2019-06-19,436.7915
2019-12-23,2019-12-23,2019-06-26,437.4838
2019-12-23,2019-12-23,2019-07-03,438.3039
2019-12-23,2019-12-23,2019-07-10,438.6489
2019-12-23,2019-12-23,2019-07-17,439.3867
2019-12-23,2019-12-23,2019-07-24,439.9483
2019-12-23,2019-12-23,2019-07-31,440.4498
2019-12-23,2019-12-23,2019-08-07,441.0983
2019-12-23,2019-12-23,2019-08-14,441.367
2019-12-23,2019-12-23,2019-08-21,442.0961
2019-12-23,2019-12-23,2019-08-28,442.3714
2019-12-23,2019-12-23,2019-09-04,442.8837
2019-12-23,2019-12-23,2019-09-11,443.9581
2019-12-23,2019-12-23,2019-09-18,444.5009
2019-12-23,2019-12-23,2019-09-25,444.9214
2019-12-23,2019-12-23,2019-10-02,444.9897
2019-12-23,2019-12-23,2019-10-09,445.4172
2019-12-23,2019-12-23,2019-10-16,445.6469
2019-12-23,2019-12-23,2019-10-23,446.3663
2019-12-23,2019-12-23,2019-10-30,447.0861
2019-12-23,2019-12-23,2019-11-06,447.5758
2019-12-23,2019-12-23,2019-11-13,447.8113
2019-12-23,2019-12-23,2019-11-20,448.2126
2019-12-23,2019-12-23,2019-11-27,448.8769
2019-12-23,2019-12-23,2019-12-04,449.1559
2019-12-23,2019-12-23,2019-12-11,449.8149
